grid_id,size_category,datetime,total_deposit_median,trade_count,CPI,BASE_RATE,CPI_YOY,deposit_lag_1,deposit_lag_3,deposit_lag_6,deposit_lag_9,base_rate_lag_3,base_rate_lag_6,base_rate_lag_9,cpi_yoy_lag_3,cpi_yoy_lag_6,cpi_yoy_lag_9,base_rate_diff_3,target_3m,target_6m,target_9m,target_12m,ym,trans_index,conv_index,env_index,safety_score_scaled,grid_crime_index,future_price,price_change_pct,mlp_value_score,value_component,momentum_component,vfm_index,horizon
GRID_01925,소형,2024-12-01,8320.0,3.0,117.16003442340792,3.165888888888889,2.3571934783095827,56000.0,33475.0,19000.0,45750.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,45090.0,18900.0,18133.33333333333,41250.0,2024-12,0.0146143281051484,0.0310651603608757,0.0350885971920785,0.1228070175438596,0.0014076234680947,38885.593778316914,367.3749252201552,0.16148387,0.19409118864971858,4.673749252201552,1.9859544140704521,6m
GRID_01617,초소형,2024-12-01,1274.0,0.0,117.16003442340792,3.165888888888889,2.3571934783095827,1274.0,1274.0,1274.0,1274.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,1274.0,1274.0,1274.0,1274.0,2024-12,0.0164459817530688,0.0098188666999586,0.1744236149921647,0.0087719298245614,0.0010409012136366,2288.4810934707198,79.62959917352589,0.2687179,2.1092457992128524,1.7962959917352588,1.9840658762218149,6m
GRID_03754,대형,2024-12-01,1000.0,0.0,117.16003442340792,3.165888888888889,2.3571934783095827,1000.0,1000.0,1000.0,1000.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,1000.0,1000.0,1000.0,1000.0,2024-12,0.0357253836933009,0.0205797653847352,0.076139352579218,0.1842105263157894,0.000678319400066,2288.4810934707198,128.84810934707198,0.17531306,1.753130555152893,2.2884810934707196,1.9672707704800239,6m
GRID_01402,초소형,2024-12-01,2381.0,5.0,117.16003442340792,3.165888888888889,2.3571934783095827,8700.0,10000.0,8530.0,10650.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,10000.0,12000.0,10000.0,10000.0,2024-12,0.101575071332302,0.0268523355339401,0.010889147945078,0.543859649122807,0.2958278593697613,9505.617538749044,299.22795206841846,0.14229767,0.5976382622644711,3.9922795206841846,1.9554947656323567,6m
GRID_02933,중형,2024-12-01,9700.0,0.0,117.16003442340792,3.165888888888889,2.3571934783095827,9700.0,65000.0,63000.0,53000.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,26000.0,51333.333333333336,63000.0,63000.0,2024-12,0.1429331829504808,0.0194997387584032,0.0811955539399415,0.1710526315789473,5.954770214285742e-05,45396.323786076784,368.0033380007916,0.10029426,0.10339614656782642,4.680033380007916,1.9340510399438622,6m
GRID_02036,초소형,2024-12-01,4192.0,1.0,117.16003442340792,3.165888888888889,2.3571934783095827,6918.0,12370.0,20548.0,23600.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,12800.0,23600.0,24320.0,25500.0,2024-12,0.0638852440116781,0.0119665056120727,0.0380822161230447,0.1403508771929824,0.0007269684558808,16843.62011402764,301.8039149338654,0.14589144,0.3480234801883006,4.018039149338654,1.8160297478484422,6m
GRID_03518,초소형,2024-12-01,2682.0,1.0,117.16003442340792,3.165888888888889,2.3571934783095827,10200.0,13150.0,7845.0,8400.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,7464.666666666667,8500.0,11000.0,14263.0,2024-12,0.0571174024929581,0.0258288453340771,0.0128492281301918,0.3333333333333333,1.6451413082256378e-05,9844.357942661656,267.05286885390217,0.13686746,0.5103186561846182,3.670528688539022,1.7744026691263797,6m
GRID_01869,대형,2024-12-01,9000.0,1.0,117.16003442340792,3.165888888888889,2.3571934783095827,14125.0,24375.0,60000.0,53500.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,48222.22222222222,51555.55555555556,54888.88888888889,56000.0,2024-12,0.1057011234302637,0.0790045531709991,0.0237186943300455,0.2017543859649122,4.033031276853288e-05,37856.107986237424,320.6234220693047,0.12703866,0.14115406407250297,4.206234220693047,1.7671861267207207,6m
GRID_01531,중형,2024-12-01,7000.0,1.0,117.16003442340792,3.165888888888889,2.3571934783095827,28500.0,18000.0,45000.0,36070.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,47000.0,46000.0,37327.5,50000.0,2024-12,0.0318490572970235,0.0336345839071333,0.0167611220159822,0.5482456140350878,2.35612334410695e-05,28010.60398054531,300.15148543636155,0.17361496,0.24802137698446003,4.001514854363616,1.7494187679361224,6m
GRID_02725,소형,2024-12-01,16200.0,1.0,117.16003442340792,3.165888888888889,2.3571934783095827,92610.0,69500.0,69000.0,75000.0,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,80000.0,105000.0,31500.0,96590.0,2024-12,0.0734799630608808,0.0181265519174347,0.0160506033082295,0.3508771929824561,1.4140661157197357e-05,68797.22268871457,324.6742141278677,0.12822478,0.07915109579945788,4.246742141278677,1.7461875139911456,6m
